ID,Simbolo,Fecha,Apertura,Cierre,Maximo,Minimo,Volumen
AAPL_2022-02-22,AAPL,2022-02-22,163.3202994694817,160.9982147216797,158.87206895600934,161.6448612037598,91162800
AMZN_2022-02-22,AMZN,2022-02-22,152.9824981689453,150.19749450683594,148.48550415039062,150.47850036621094,66128000
AVGO_2022-02-22,AVGO,2022-02-22,54.67238984238614,53.491329193115234,52.782694217006316,53.725690405444304,20204000
GOOGL_2022-02-22,GOOGL,2022-02-22,131.18928131742402,128.8400421142578,127.26195393463564,128.8643488187509,44990000
JPM_2022-02-22,JPM,2022-02-22,138.17020320971827,136.93492126464844,135.61850708557432,135.78982446353288,11333500
LLY_2022-02-22,LLY,2022-02-22,232.61560392450667,230.94482421875,229.38993231745164,231.02208766722086,2936700
MA_2022-02-22,MA,2022-02-22,365.5853040332641,359.6960144042969,355.31076763789395,356.4827777334461,3897900
META_2022-02-22,META,2022-02-22,206.04075812577685,200.67822265625,198.67223065564426,200.9364136452616,39852400
MSFT_2022-02-22,MSFT,2022-02-22,282.6724139032119,278.9685974121094,275.8465370047907,276.33132880972005,41736100
NVDA_2022-02-22,NVDA,2022-02-22,24.01747672423465,23.34477996826172,22.955534556689436,22.990466739591504,633422000
PG_2022-02-22,PG,2022-02-22,145.28674837530582,142.62266540527344,141.47576977704946,144.59137658524136,8179500
TSLA_2022-02-22,TSLA,2022-02-22,285.57666015625,273.84332275390625,267.0333251953125,278.0433349609375,83288100
UNH_2022-02-22,UNH,2022-02-22,436.681354040226,432.3069763183594,427.9232424930147,433.54075541511526,3029800
V_2022-02-22,V,2022-02-22,217.58523237610737,214.6561737060547,213.29831811921568,214.3652035946353,9928800
XOM_2022-02-22,XOM,2022-02-22,69.52719933116185,66.6255111694336,65.6234258905329,69.42263165618803,35947800
AAPL_2022-02-23,AAPL,2022-02-23,162.7911986729469,156.83412170410156,156.52058346872764,162.19352949330056,90009200
AMZN_2022-02-23,AMZN,2022-02-23,151.76300048828125,144.82699584960938,144.6510009765625,151.65049743652344,64244000
AVGO_2022-02-23,AVGO,2022-02-23,54.196257523760245,52.354732513427734,52.313046234933786,53.74791712851103,22416000
GOOGL_2022-02-23,GOOGL,2022-02-23,131.0607395809099,126.63121032714844,126.57116292849084,130.66126157793636,32786000
JPM_2022-02-23,JPM,2022-02-23,138.22430534628506,134.06765747070312,133.418461993867,138.0619995979649,11799000
LLY_2022-02-23,LLY,2022-02-23,234.37330777502328,230.15289306640625,229.8728259502254,232.31622549063488,2296300
MA_2022-02-23,MA,2022-02-23,364.8431131811495,352.80084228515625,351.7265044172159,363.2902188197246,3802500
META_2022-02-23,META,2022-02-23,205.50450704512744,197.07339477539062,196.67617554494552,202.74379248058972,44481400
MSFT_2022-02-23,MSFT,2022-02-23,282.8275409854315,271.74517822265625,271.5803655847503,281.35375501257334,37811200
NVDA_2022-02-23,NVDA,2022-02-23,24.10830099326957,22.343717575073242,22.257885303841995,23.755982820677037,566511000
PG_2022-02-23,PG,2022-02-23,143.22769958672643,140.8435821533203,140.51847460422718,142.95677433251032,6273000
TSLA_2022-02-23,TSLA,2022-02-23,278.4333190917969,254.67999267578125,253.52000427246094,276.80999755859375,95256900
UNH_2022-02-23,UNH,2022-02-23,437.1767071600729,429.60565185546875,428.87658896093376,436.68131863589787,2840300
V_2022-02-23,V,2022-02-23,217.52701905749464,209.4478302001953,208.93378946900194,216.13037450506238,8669900
XOM_2022-02-23,XOM,2022-02-23,67.50559025978596,66.89562225341797,66.33794139781763,66.62549745875911,25385000
AAPL_2022-02-24,AAPL,2022-02-24,159.55789590082478,159.4501190185547,148.92722915533128,149.49550590272597,141147500
AMZN_2022-02-24,AMZN,2022-02-24,151.74899291992188,151.35800170898438,139.5,139.83749389648438,100786000
AVGO_2022-02-24,AVGO,2022-02-24,54.2536927603691,53.72661590576172,50.85687395538994,51.09401260272064,35316000
GOOGL_2022-02-24,GOOGL,2022-02-24,132.0026265987599,131.69593811035156,124.01646653856334,124.01646653856334,54456000
JPM_2022-02-24,JPM,2022-02-24,130.73147928129987,130.33474731445312,126.03383214036315,128.88307648570088,25655100
LLY_2022-02-24,LLY,2022-02-24,235.58049422113814,234.7595977783203,225.99039602734152,227.12999864319266,3272300
MA_2022-02-24,MA,2022-02-24,361.89358601391274,360.7606506347656,333.34564719184647,337.8676125172178,7425000
META_2022-02-24,META,2022-02-24,206.90470945781502,206.159912109375,188.90047003925045,189.73463943279745,49957200
MSFT_2022-02-24,MSFT,2022-02-24,286.1822778670693,285.6296081542969,263.2613090468984,264.2212168610139,56989700
NVDA_2022-02-24,NVDA,2022-02-24,23.753986916908737,23.70208740234375,20.849612945501377,20.974371284148294,735801000
PG_2022-02-24,PG,2022-02-24,140.86162115850166,137.05064392089844,135.96695678059416,140.55457899505086,13145100
TSLA_2022-02-24,TSLA,2022-02-24,267.49334716796875,266.92333984375,233.3333282470703,233.4633331298828,135322200
UNH_2022-02-24,UNH,2022-02-24,426.7735032748503,426.1192321777344,416.63203028488107,420.1651854883546,3933000
V_2022-02-24,V,2022-02-24,211.3003078476651,210.75717163085938,195.38440398339114,197.24659164073304,13463400
XOM_2022-02-24,XOM,2022-02-24,68.8649525962924,66.05040740966797,64.50806573940352,68.83881233884414,46199900
AAPL_2022-02-25,AAPL,2022-02-25,161.78204820003634,161.51751708984375,157.6179631395797,160.52792495432507,91974200
AMZN_2022-02-25,AMZN,2022-02-25,153.99000549316406,153.7884979248047,149.2135009765625,150.5500030517578,62396000
